weekStartDate,dayOfWeek,dayType,station,phase,slot,exerciseName,focus,isStatic,staticCondition
2025-10-05,Sunday,Kickboxing,1,1,A,R ISOLATION BICEP CURLS,Upper,FALSE,
2025-10-05,Sunday,Kickboxing,1,1,B,HEEL SIT TO PLANK,Upper,FALSE,
2025-10-05,Sunday,Kickboxing,1,1,C,PUSH-UPS TO KNEE DRIVE,Upper,FALSE,
2025-10-05,Sunday,Kickboxing,1,2,A,L ISOLATION BICEP CURLS,Upper,FALSE,
2025-10-05,Sunday,Kickboxing,1,2,B,PLANK JACKS,Upper,FALSE,
2025-10-05,Sunday,Kickboxing,1,2,C,RENEGADE ROWS,Upper,FALSE,
2025-10-05,Sunday,Kickboxing,2,,A,"1,2, 2X R BODY KICK",Upper,FALSE,
2025-10-05,Sunday,Kickboxing,2,,B,"1,2, SWITCH KICK,4, L B. KICK, SIDEKICK",Upper,FALSE,
2025-10-05,Sunday,Kickboxing,2,,C,"1,2, STEP BK, FRONT KICK, R BODY KICK",Upper,FALSE,
2025-10-05,Sunday,Kickboxing,3,,A,ATT/DEF,Upper,FALSE,
2025-10-05,Sunday,Kickboxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-10-05,Sunday,Kickboxing,3,,C,FRONT SPLIT,Upper,FALSE,
2025-10-05,Monday,Technique,1,1,A,ATT/DEF,Mixed,FALSE,
2025-10-05,Monday,Technique,1,1,B,ATT/DEF,Mixed,FALSE,
2025-10-05,Monday,Technique,1,1,C,ATT/DEF,Mixed,FALSE,
2025-10-05,Monday,Technique,1,2,A,"STEP IN 1, BLK / STEP BK/IN,3",Mixed,FALSE,
2025-10-05,Monday,Technique,1,2,B,"STEP IN 1, STEP R / STEP BK/IN,3",Mixed,FALSE,
2025-10-05,Monday,Technique,1,2,C,"STEP IN 1, STEP R/3 /STEP BK/IN,3",Mixed,FALSE,
2025-10-05,Monday,Technique,2,,A,1 - 1F - 4 - 3B,Mixed,FALSE,
2025-10-05,Monday,Technique,2,,B,1 - 4 - WEAVE R/L - 3 - 4B - 3,Mixed,FALSE,
