weekStartDate,dayOfWeek,dayType,station,phase,slot,exerciseName,focus,isStatic,staticCondition
2025-03-30,Sunday,Kickboxing,1,1,A,R LATERAL LUNGES,Upper,FALSE,
2025-03-30,Sunday,Kickboxing,1,1,B,FLUTTER KICKS,Upper,FALSE,
2025-03-30,Sunday,Kickboxing,1,1,C,R SINGLE LEG DEADLIFTS,Upper,FALSE,
2025-03-30,Sunday,Kickboxing,1,2,A,L LATERAL LUNGES,Upper,FALSE,
2025-03-30,Sunday,Kickboxing,1,2,B,PLYO LUNGES,Upper,FALSE,
2025-03-30,Sunday,Kickboxing,1,2,C,L SINGLE LEG DEADLIFTS,Upper,FALSE,
2025-03-30,Sunday,Kickboxing,2,,A,"1, 2, 2X R BODY KICK, R SIDEKICK",Upper,FALSE,
2025-03-30,Sunday,Kickboxing,2,,B,"1, 2, L LOW KICK, 4,3, R BODY KICK",Upper,FALSE,
2025-03-30,Sunday,Kickboxing,2,,C,"1,2, GRAB, 2X KNEES, ELBOW",Upper,FALSE,
2025-03-30,Sunday,Kickboxing,3,,A,ATT/DEF,Upper,FALSE,
2025-03-30,Sunday,Kickboxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-03-30,Sunday,Kickboxing,3,,C,SIDEKICK HOLD,Upper,FALSE,
2025-03-30,Monday,Technique,1,1,A,ATT/DEF,Mixed,FALSE,
2025-03-30,Monday,Technique,1,1,B,BATTLE ROPES,Mixed,FALSE,
2025-03-30,Monday,Technique,1,1,C,SLAM BALL SLAMS,Mixed,FALSE,
2025-03-30,Monday,Technique,1,2,A,ATTACK / DEFEND,Mixed,FALSE,
2025-03-30,Monday,Technique,1,2,B,ATTACK / DEFEND,Mixed,FALSE,
2025-03-30,Monday,Technique,1,2,C,"1,2,3 / DEFEND",Mixed,FALSE,
2025-03-30,Monday,Technique,2,,A,1 - 3 - 3B - 4 - 4,Mixed,FALSE,
2025-03-30,Monday,Technique,2,,B,1 - 2 - 3 - LEAN BK/2 - 3,Mixed,FALSE,
2025-03-30,Monday,Technique,2,,C,"45 SECS SLIP R, 2, 45 SECS SLIP L, 1",Mixed,FALSE,
2025-03-30,Monday,Technique,3,,A,Nonstop sparring,Mixed,TRUE,technique-station3
2025-03-30,Monday,Technique,3,,B,Nonstop sparring,Mixed,TRUE,technique-station3
