weekStartDate,dayOfWeek,dayType,station,phase,slot,exerciseName,focus,isStatic,staticCondition
2023-08-20,Sunday,Kickboxing,1,1,A,R SIDE LUNGES,Upper,FALSE,
2023-08-20,Sunday,Kickboxing,1,1,B,R SIDE LUNGES,Upper,FALSE,
2023-08-20,Sunday,Kickboxing,1,1,C,PLANK JACKS,Upper,FALSE,
2023-08-20,Sunday,Kickboxing,1,2,A,R FORWARD LUNGES,Upper,FALSE,
2023-08-20,Sunday,Kickboxing,1,2,B,R FORWARD LUNGES,Upper,FALSE,
2023-08-20,Sunday,Kickboxing,1,2,C,TUCK JUMPS,Upper,FALSE,
2023-08-20,Sunday,Kickboxing,2,,A,"1,2, R BODY KICK, R BODY KICK",Upper,FALSE,
2023-08-20,Sunday,Kickboxing,2,,B,"1,2, FRONT KICK, 3,4",Upper,FALSE,
2023-08-20,Sunday,Kickboxing,2,,C,"LOW KICK, BODY KICK, HIGH KICK",Upper,FALSE,
2023-08-20,Sunday,Kickboxing,3,,A,ATT/DEF,Upper,FALSE,
2023-08-20,Sunday,Kickboxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2023-08-20,Sunday,Kickboxing,3,,C,SPLITS,Upper,FALSE,
2023-08-20,Monday,Technique,1,1,A,Condition Zone A,Mixed,FALSE,
2023-08-20,Monday,Technique,1,1,B,KB FRONTAL RAISES,Mixed,FALSE,
2023-08-20,Monday,Technique,1,1,C,BATTLE ROPES WEIGHTED PULLS,Mixed,FALSE,
2023-08-20,Monday,Technique,1,2,A,Condition Zone B,Mixed,FALSE,
2023-08-20,Monday,Technique,1,2,B,CURTSY LUNGE TO SQUAT JUMP,Mixed,FALSE,
2023-08-20,Monday,Technique,1,2,C,BATTLE ROPES WEIGHTED PULLS,Mixed,FALSE,
2023-08-20,Monday,Technique,2,,A,Bag Work Zone,Mixed,FALSE,
2023-08-20,Monday,Technique,2,,B,4 - 5 - 6 - 3,Mixed,FALSE,
2023-08-20,Monday,Technique,2,,C,1 - 2 - SLIPx2 - 1 - 2 - 3,Mixed,FALSE,
2023-08-20,Monday,Technique,3,,A,Nonstop sparring,Mixed,TRUE,technique-station3
2023-08-20,Monday,Technique,3,,B,Nonstop sparring,Mixed,TRUE,technique-station3
2023-08-20,Monday,Technique,3,,C,Nonstop sparring,Mixed,TRUE,technique-station3
2023-08-20,Tuesday,Boxing,1,1,A,FLAPPY BIRDS,Upper,FALSE,
2023-08-20,Tuesday,Boxing,1,1,B,GLUTES BRIDGES HOLD,Upper,FALSE,
2023-08-20,Tuesday,Boxing,1,1,C,PLANK TO REVERSE LEG RAISES,Upper,FALSE,
2023-08-20,Tuesday,Boxing,1,2,A,FRONTAL RAISES,Upper,FALSE,
2023-08-20,Tuesday,Boxing,1,2,B,KICK BACKS,Upper,FALSE,
2023-08-20,Tuesday,Boxing,1,2,C,TWISTING SQUAT JUMPS,Upper,FALSE,
2023-08-20,Tuesday,Boxing,2,,A,1 - 2 - 1 - 2 - 3,Upper,FALSE,
2023-08-20,Tuesday,Boxing,2,,B,1 - 2 - STEP BK/IN L - SWITCH - 3,Upper,FALSE,
2023-08-20,Tuesday,Boxing,2,,C,"20 SECS FULL SPEED 1,2S, 10 SECS FULL POWER 3,4S",Upper,FALSE,
2023-08-20,Tuesday,Boxing,3,,A,MIRRORING,Upper,FALSE,
2023-08-20,Tuesday,Boxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2023-08-20,Tuesday,Boxing,3,,C,SHOULDER TAGS,Upper,FALSE,
2023-08-20,Wednesday,Conditioning,1,1,A,Condition Zone A,Lower,FALSE,
2023-08-20,Wednesday,Conditioning,1,1,B,ATT/DEF,Lower,FALSE,
2023-08-20,Wednesday,Conditioning,1,1,C,ATT/DEF,Lower,FALSE,
2023-08-20,Wednesday,Conditioning,1,2,A,Condition Zone B,Lower,FALSE,
2023-08-20,Wednesday,Conditioning,1,2,B,2/SIDE STEP,Lower,FALSE,
2023-08-20,Wednesday,Conditioning,1,2,C,"2/SIDE STEP, 4",Lower,FALSE,
2023-08-20,Wednesday,Conditioning,2,,A,Bag Work Zone,Lower,FALSE,
2023-08-20,Wednesday,Conditioning,2,,B,"1,2, BURPEE",Lower,FALSE,
2023-08-20,Wednesday,Conditioning,2,,C,"3,4, BURPEE",Lower,FALSE,
