weekStartDate,dayOfWeek,dayType,station,phase,slot,exerciseName,focus,isStatic,staticCondition
2025-09-14,Sunday,Kickboxing,1,1,A,BENT OVER ROWS,Upper,FALSE,
2025-09-14,Sunday,Kickboxing,1,1,B,PLANK TO TOE TAPS,Upper,FALSE,
2025-09-14,Sunday,Kickboxing,1,1,C,STRAIGHT ARM PULLDOWNS,Upper,FALSE,
2025-09-14,Sunday,Kickboxing,1,2,A,OVERHEAD TRICEPS EXTENSIONS,Upper,FALSE,
2025-09-14,Sunday,Kickboxing,1,2,B,WEIGHTED JUMPING JACKS,Upper,FALSE,
2025-09-14,Sunday,Kickboxing,1,2,C,CHEST PRESS,Upper,FALSE,
2025-09-14,Sunday,Kickboxing,2,,A,"1,2, R BODY KICK, SWITCH KICK",Upper,FALSE,
2025-09-14,Sunday,Kickboxing,2,,B,"1,2, STEP BK, SIDEKICK, STEP BK, SPINNING KICK",Upper,FALSE,
2025-09-14,Sunday,Kickboxing,2,,C,"1,2, FRONT KICK, BLOCK, R ELBOW",Upper,FALSE,
2025-09-14,Sunday,Kickboxing,3,,A,ATT/DEF,Upper,FALSE,
2025-09-14,Sunday,Kickboxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-09-14,Sunday,Kickboxing,3,,C,"STEP IN, SHUFFLE, STEP BK, SHUFFLE",Upper,FALSE,
2025-09-14,Monday,Technique,1,1,A,ATT/DEF,Mixed,FALSE,
2025-09-14,Monday,Technique,1,1,B,ATT/DEF,Mixed,FALSE,
2025-09-14,Monday,Technique,1,1,C,ATT/DEF,Mixed,FALSE,
2025-09-14,Monday,Technique,1,2,A,"STEP IN 1,4 / STEP BK, BLOCK",Mixed,FALSE,
2025-09-14,Monday,Technique,1,2,B,"STEP IN 1,4 / STEP BK,BLK, STEP IN",Mixed,FALSE,
2025-09-14,Monday,Technique,1,2,C,"STEP IN 1,4 / … STEP IN, SWITCH,3",Mixed,FALSE,
2025-09-14,Monday,Technique,2,,A,1 - 4 - 3 - 3 - 4B,Mixed,FALSE,
2025-09-14,Monday,Technique,2,,B,1 - 2 - STEP BK/IN/1 - 4 - WEAVE R - 4,Mixed,FALSE,
2025-09-14,Monday,Technique,2,,C,"10 SECS BAG SWING STEP BK/IN 20 SECS 1,1,2,WEAVE R",Mixed,FALSE,
2025-09-14,Monday,Technique,3,,A,Nonstop sparring,Mixed,TRUE,technique-station3
2025-09-14,Monday,Technique,3,,B,Nonstop sparring,Mixed,TRUE,technique-station3
2025-09-14,Monday,Technique,3,,C,Nonstop sparring,Mixed,TRUE,technique-station3
2025-09-14,Tuesday,Boxing,1,1,A,R CURTSY TO LATERAL LUNGE,Upper,FALSE,
2025-09-14,Tuesday,Boxing,1,1,B,SIDE TO SIDE MOUNTAIN CLIMBER,Upper,FALSE,
2025-09-14,Tuesday,Boxing,1,1,C,R BACK KICKS TO CROSS KNEE DRIVE,Upper,FALSE,
2025-09-14,Tuesday,Boxing,1,2,A,L CURTSY TO LATERAL LUNGE,Upper,FALSE,
2025-09-14,Tuesday,Boxing,1,2,B,TWISTING POP SQUATS,Upper,FALSE,
2025-09-14,Tuesday,Boxing,1,2,C,L BACK KICKS TO CROSS KNEE DRIVE,Upper,FALSE,
2025-09-14,Tuesday,Boxing,2,,A,1 - 2 - 3 - 3B - 4,Upper,FALSE,
2025-09-14,Tuesday,Boxing,2,,B,1 - 2 - WEAVE R - 4B - 4 - WEAVE R,Upper,FALSE,
2025-09-14,Tuesday,Boxing,2,,C,"1, SLIP L/R, 2, SLIP R/L, 1 …",Upper,FALSE,
2025-09-14,Tuesday,Boxing,3,,A,MIRRORING,Upper,FALSE,
2025-09-14,Tuesday,Boxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-09-14,Tuesday,Boxing,3,,C,LEG TAGS,Upper,FALSE,
2025-09-14,Wednesday,Conditioning,1,1,A,SHUTTLE RUN TO REVERSE SHUTTLE RUN,Lower,FALSE,
2025-09-14,Wednesday,Conditioning,1,1,B,SLAM BALL SLAMS,Lower,FALSE,
2025-09-14,Wednesday,Conditioning,1,1,C,WEIGHTED UPPERCUTS,Lower,FALSE,
2025-09-14,Wednesday,Conditioning,2,,A,"5X JAB, STRT, R HOOK, R HOOK 5X STEP BK/IN/1,2",Lower,FALSE,
2025-09-14,Wednesday,Conditioning,2,,B,"5X JAB, STRT, JAB, R HOOK 5X R SIDE STEP/3,4, L SIDE STEP/4,3",Lower,FALSE,
2025-09-14,Wednesday,Conditioning,2,,C,"5X JAB, STRT, GRAB, 2X BODY 5X SWITCH, HOOK",Lower,FALSE,
2025-09-14,Wednesday,Conditioning,3,,A,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-09-14,Wednesday,Conditioning,3,,B,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-09-14,Wednesday,Conditioning,3,,C,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-09-14,Thursday,Kickboxing,1,1,A,CROSS BODY BENT OVER ROWS,Mixed,FALSE,
2025-09-14,Thursday,Kickboxing,1,1,B,LEG RAISES TO PIKE,Mixed,FALSE,
2025-09-14,Thursday,Kickboxing,1,1,C,FORWARD JUMP,Mixed,FALSE,
2025-09-14,Thursday,Kickboxing,1,2,A,PULLOVERS,Mixed,FALSE,
2025-09-14,Thursday,Kickboxing,1,2,B,REVERSE BURPEES,Mixed,FALSE,
2025-09-14,Thursday,Kickboxing,1,2,C,"STEP IN, PIVOT, SWITCH",Mixed,FALSE,
2025-09-14,Thursday,Kickboxing,2,,A,"1,2,R BODY KICK,3,4, L BODY KICK",Mixed,FALSE,
2025-09-14,Thursday,Kickboxing,2,,B,"1,2, R FAKE HIGH KICK, R HEEL KICK",Mixed,FALSE,
2025-09-14,Thursday,Kickboxing,2,,C,FREESTYLE,Mixed,FALSE,
2025-09-14,Thursday,Kickboxing,3,,A,ATT/DEF,Mixed,FALSE,
2025-09-14,Thursday,Kickboxing,3,,B,LIGHT SPARRING,Mixed,FALSE,
2025-09-14,Thursday,Kickboxing,3,,C,TENNIS BALL TO BURPEE,Mixed,FALSE,
2025-09-14,Saturday,Technique,1,1,A,ATT/DEF,Lower,FALSE,
2025-09-14,Saturday,Technique,1,1,B,ATT/DEF,Lower,FALSE,
2025-09-14,Saturday,Technique,1,1,C,ATT/DEF,Lower,FALSE,
2025-09-14,Saturday,Technique,1,2,A,1 / SLIP R,Lower,FALSE,
2025-09-14,Saturday,Technique,1,2,B,"1 / SLIP R/3,6",Lower,FALSE,
2025-09-14,Saturday,Technique,1,2,C,"1 / SLIP R/3,6,3,2",Lower,FALSE,
2025-09-14,Saturday,Technique,2,,A,1 - 1 - 4 - 4 - 3B - 4,Lower,FALSE,
2025-09-14,Saturday,Technique,2,,B,1 - 2 - STEP BK - SUPERMAN PUNCH,Lower,FALSE,
2025-09-14,Saturday,Technique,2,,C,FREESTYLE,Lower,FALSE,
2025-09-14,Saturday,Technique,3,,A,Nonstop sparring,Lower,TRUE,technique-station3
2025-09-14,Saturday,Technique,3,,B,Nonstop sparring,Lower,TRUE,technique-station3
2025-09-14,Saturday,Technique,3,,C,Nonstop sparring,Lower,TRUE,technique-station3
