weekStartDate,dayOfWeek,dayType,station,phase,slot,exerciseName,focus,isStatic,staticCondition
2025-08-17,Sunday,Kickboxing,1,1,A,R CURTSEY LUNGE,Upper,FALSE,
2025-08-17,Sunday,Kickboxing,1,1,B,V-HOLD SWITCHES,Upper,FALSE,
2025-08-17,Sunday,Kickboxing,1,1,C,R SINGLE LEG DEADLIFT,Upper,FALSE,
2025-08-17,Sunday,Kickboxing,1,2,A,L CURTSEY LUNGE,Upper,FALSE,
2025-08-17,Sunday,Kickboxing,1,2,B,WEIGHTED HIGH KNEES,Upper,FALSE,
2025-08-17,Sunday,Kickboxing,1,2,C,L SINGLE LEG DEADLIFT,Upper,FALSE,
2025-08-17,Sunday,Kickboxing,2,,A,"1,2,3, R BODY KICK, 3, R HIGH KICK",Upper,FALSE,
2025-08-17,Sunday,Kickboxing,2,,B,"1, 2, STEP BK, FAKE KNEE, FRONT KICK, SWITCH KICK",Upper,FALSE,
2025-08-17,Sunday,Kickboxing,2,,C,STEP BK/IN/SIDEKICK,Upper,FALSE,
2025-08-17,Sunday,Kickboxing,3,,A,ATT/DEF,Upper,FALSE,
2025-08-17,Sunday,Kickboxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-08-17,Sunday,Kickboxing,3,,C,ROUND KICK TECHNIQUE,Upper,FALSE,
2025-08-17,Monday,Technique,1,1,A,ATT/DEF,Mixed,FALSE,
2025-08-17,Monday,Technique,1,1,B,WEIGHTED SHUTTLE RUN TO BURPEE,Mixed,FALSE,
2025-08-17,Monday,Technique,1,1,C,HIGH KNEES TO SHOULDER PRESS,Mixed,FALSE,
2025-08-17,Monday,Technique,1,2,A,ATTACK / DEFEND,Mixed,FALSE,
2025-08-17,Monday,Technique,1,2,B,HIGH KNEES TO SHOULDER PRESS,Mixed,FALSE,
2025-08-17,Monday,Technique,1,2,C,[FILL],Mixed,FALSE,
2025-08-17,Monday,Technique,2,,A,1 - 4B - 3 - 4 - 3B - 4,Mixed,FALSE,
2025-08-17,Monday,Technique,2,,B,1 - 2 - STEP BK/IN/1 - 4 - WV R - 4,Mixed,FALSE,
2025-08-17,Monday,Technique,2,,C,FREESTYLE,Mixed,FALSE,
2025-08-17,Monday,Technique,3,,A,Nonstop sparring,Mixed,TRUE,technique-station3
2025-08-17,Monday,Technique,3,,B,Nonstop sparring,Mixed,TRUE,technique-station3
2025-08-17,Monday,Technique,3,,C,Nonstop sparring,Mixed,TRUE,technique-station3
2025-08-17,Tuesday,Boxing,1,1,A,LATERAL RAISES,Upper,FALSE,
2025-08-17,Tuesday,Boxing,1,1,B,PLANK TO TOE TAPS,Upper,FALSE,
2025-08-17,Tuesday,Boxing,1,1,C,R SINGLE LEG BRIDGE,Upper,FALSE,
2025-08-17,Tuesday,Boxing,1,2,A,FRONTAL RAISES,Upper,FALSE,
2025-08-17,Tuesday,Boxing,1,2,B,1 POP SQUAT 2 PLYO LUNGES,Upper,FALSE,
2025-08-17,Tuesday,Boxing,1,2,C,L SINGLE LEG BRIDGE,Upper,FALSE,
