weekStartDate,dayOfWeek,dayType,station,phase,slot,exerciseName,focus,isStatic,staticCondition
2025-02-23,Sunday,Kickboxing,1,1,A,R ISOLATION BICEPS CURL,Upper,FALSE,
2025-02-23,Sunday,Kickboxing,1,1,B,BICYCLE CRUNCHES,Upper,FALSE,
2025-02-23,Sunday,Kickboxing,1,1,C,R SINGLE ARM SHOULDER PRESS,Upper,FALSE,
2025-02-23,Sunday,Kickboxing,1,2,A,L ISOLATION BICEPS CURL,Upper,FALSE,
2025-02-23,Sunday,Kickboxing,1,2,B,"WEIGHTED 1,2S",Upper,FALSE,
2025-02-23,Sunday,Kickboxing,1,2,C,L SINGLE ARM SHOULDER PRESS,Upper,FALSE,
2025-02-23,Sunday,Kickboxing,2,,A,"JAB, STRT, 2X R BODY KICK",Upper,FALSE,
2025-02-23,Sunday,Kickboxing,2,,B,"JAB, STRT, FRONT KICK, GRAB, KNEE",Upper,FALSE,
2025-02-23,Sunday,Kickboxing,2,,C,RAPID KNEES,Upper,FALSE,
2025-02-23,Sunday,Kickboxing,3,,A,ATT/DEF,Upper,FALSE,
2025-02-23,Sunday,Kickboxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-02-23,Sunday,Kickboxing,3,,C,3 SHUFFLES TO PIVOT,Upper,FALSE,
2025-02-23,Monday,Technique,1,1,A,ATT/DEF,Mixed,FALSE,
2025-02-23,Monday,Technique,1,1,B,ATTACK / DEFEND,Mixed,FALSE,
2025-02-23,Monday,Technique,1,1,C,"1,2,3 / DEFEND",Mixed,FALSE,
2025-02-23,Monday,Technique,1,2,A,90 SEC ATT,Mixed,FALSE,
2025-02-23,Monday,Technique,1,2,B,90 SEC DEF,Mixed,FALSE,
2025-02-23,Monday,Technique,1,2,C,"4 / 4, 3B, 4",Mixed,FALSE,
2025-02-23,Monday,Technique,2,,A,1 - 2 - 4B - 4,Mixed,FALSE,
2025-02-23,Monday,Technique,2,,B,1 - 2 - LEAN BK - 2 - 3,Mixed,FALSE,
2025-02-23,Monday,Technique,2,,C,SWITCH/HOOK,Mixed,FALSE,
2025-02-23,Monday,Technique,3,,A,Nonstop sparring,Mixed,TRUE,technique-station3
2025-02-23,Monday,Technique,3,,B,Nonstop sparring,Mixed,TRUE,technique-station3
2025-02-23,Monday,Technique,3,,C,Nonstop sparring,Mixed,TRUE,technique-station3
2025-02-23,Tuesday,Boxing,1,1,A,PARTNER PUSH-UP TAPS,Upper,FALSE,
2025-02-23,Tuesday,Boxing,1,1,B,PARTNER V-SETS,Upper,FALSE,
2025-02-23,Tuesday,Boxing,1,1,C,BOUNCING SQUATS,Upper,FALSE,
2025-02-23,Tuesday,Boxing,1,2,A,PARTNER PLANK TO SHOULDER TAPS,Upper,FALSE,
2025-02-23,Tuesday,Boxing,1,2,B,PARTNER SKI JUMPS,Upper,FALSE,
2025-02-23,Tuesday,Boxing,1,2,C,PARTNER SQUAT JUMPS,Upper,FALSE,
2025-02-23,Tuesday,Boxing,2,,A,1 - 4 - 3B - 4,Upper,FALSE,
2025-02-23,Tuesday,Boxing,2,,B,1 - 1 - SLIP L - 3B - WEAVE L - 3,Upper,FALSE,
2025-02-23,Tuesday,Boxing,2,,C,"1,2 DUCK, 1,2",Upper,FALSE,
2025-02-23,Tuesday,Boxing,3,,A,MIRRORING,Upper,FALSE,
2025-02-23,Tuesday,Boxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-02-23,Tuesday,Boxing,3,,C,SHOULDER TAG,Upper,FALSE,
2025-02-23,Wednesday,Conditioning,1,1,A,PARTNER – ATT/DEF,Lower,FALSE,
2025-02-23,Wednesday,Conditioning,1,1,B,PARTNER – ATT/DEF,Lower,FALSE,
2025-02-23,Wednesday,Conditioning,1,1,C,PARTNER – ATT/DEF,Lower,FALSE,
2025-02-23,Wednesday,Conditioning,1,2,A,90 SEC ATT,Lower,FALSE,
2025-02-23,Wednesday,Conditioning,1,2,B,90 SEC DEF,Lower,FALSE,
2025-02-23,Wednesday,Conditioning,1,2,C,"4 / 4, 3B, 4",Lower,FALSE,
2025-02-23,Wednesday,Conditioning,2,,A,1 - 2 - 4B - 4,Lower,FALSE,
2025-02-23,Wednesday,Conditioning,2,,B,1 - 2 - LEAN BK - 2 - 3,Lower,FALSE,
2025-02-23,Wednesday,Conditioning,2,,C,SWITCH/HOOK,Lower,FALSE,
2025-02-23,Wednesday,Conditioning,3,,A,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-02-23,Wednesday,Conditioning,3,,B,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-02-23,Wednesday,Conditioning,3,,C,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-02-23,Thursday,Kickboxing,1,1,A,PARTNER PUSH-UP TAPS,Mixed,FALSE,
2025-02-23,Thursday,Kickboxing,1,1,B,PARTNER V-SETS,Mixed,FALSE,
2025-02-23,Thursday,Kickboxing,1,1,C,BOUNCING SQUATS,Mixed,FALSE,
2025-02-23,Thursday,Kickboxing,1,2,A,PARTNER PLANK TO SHOULDER TAPS,Mixed,FALSE,
2025-02-23,Thursday,Kickboxing,1,2,B,PARTNER SKI JUMPS,Mixed,FALSE,
2025-02-23,Thursday,Kickboxing,1,2,C,PARTNER SQUAT JUMPS,Mixed,FALSE,
2025-02-23,Thursday,Kickboxing,2,,A,"JABS, STRT, 2X L KICK, R HK",Mixed,FALSE,
2025-02-23,Thursday,Kickboxing,2,,B,"JAB, STRT, BLOCK L, SWITCH KICK",Mixed,FALSE,
2025-02-23,Thursday,Kickboxing,2,,C,RAPID BODY KICK TO SIDEKICK,Mixed,FALSE,
2025-02-23,Thursday,Kickboxing,3,,A,ATT/DEF,Mixed,FALSE,
2025-02-23,Thursday,Kickboxing,3,,B,LIGHT SPARRING,Mixed,FALSE,
2025-02-23,Thursday,Kickboxing,3,,C,HAND TAPS,Mixed,FALSE,
2025-02-23,Saturday,Technique,1,1,A,PARTNER – ATT/DEF,Lower,FALSE,
2025-02-23,Saturday,Technique,1,1,B,PARTNER – ATT/DEF,Lower,FALSE,
2025-02-23,Saturday,Technique,1,1,C,PARTNER – ATT/DEF,Lower,FALSE,
2025-02-23,Saturday,Technique,1,2,A,90 SEC ATT,Lower,FALSE,
2025-02-23,Saturday,Technique,1,2,B,90 SEC DEF,Lower,FALSE,
2025-02-23,Saturday,Technique,1,2,C,"4 / 4, 3B, 4",Lower,FALSE,
2025-02-23,Saturday,Technique,2,,A,1 - 2 - 4B - 4,Lower,FALSE,
2025-02-23,Saturday,Technique,2,,B,1 - 2 - LEAN BK - 2 - 3,Lower,FALSE,
2025-02-23,Saturday,Technique,2,,C,SWITCH/HOOK,Lower,FALSE,
2025-02-23,Saturday,Technique,3,,A,Nonstop sparring,Lower,TRUE,technique-station3
2025-02-23,Saturday,Technique,3,,B,Nonstop sparring,Lower,TRUE,technique-station3
2025-02-23,Saturday,Technique,3,,C,Nonstop sparring,Lower,TRUE,technique-station3
2025-02-16,Sunday,Kickboxing,1,1,A,BICEPS CURL,Upper,FALSE,
2025-02-16,Sunday,Kickboxing,1,1,B,PLANK TO SHOULDER TAP,Upper,FALSE,
2025-02-16,Sunday,Kickboxing,1,1,C,OVERHEAD TRICEPS EXTENSIONS,Upper,FALSE,
2025-02-16,Sunday,Kickboxing,1,2,A,SHOULDER PRESS,Upper,FALSE,
2025-02-16,Sunday,Kickboxing,1,2,B,WEIGHTED JUMPING JACKS,Upper,FALSE,
2025-02-16,Sunday,Kickboxing,1,2,C,REVERSE FLYS,Upper,FALSE,
2025-02-16,Sunday,Kickboxing,2,,A,"1, 2, R BODY KICK, R SIDEKICK",Upper,FALSE,
2025-02-16,Sunday,Kickboxing,2,,B,"1, 2, 2X BODY KICK, 4, R HIGH KICK",Upper,FALSE,
2025-02-16,Sunday,Kickboxing,2,,C,"LOW, BODY, HIGH KICK",Upper,FALSE,
2025-02-16,Sunday,Kickboxing,3,,A,ATT/DEF,Upper,FALSE,
2025-02-16,Sunday,Kickboxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-02-16,Sunday,Kickboxing,3,,C,SIDEKICK HOLD,Upper,FALSE,
2025-02-16,Monday,Technique,1,1,A,ATT/DEF,Mixed,FALSE,
2025-02-16,Monday,Technique,1,1,B,ATTACK / DEFEND,Mixed,FALSE,
2025-02-16,Monday,Technique,1,1,C,"1,2,3 / DEFEND",Mixed,FALSE,
2025-02-16,Monday,Technique,1,2,A,"1,2 / STEP BK/IN",Mixed,FALSE,
2025-02-16,Monday,Technique,1,2,B,"1,2 / STEP BK/IN/4",Mixed,FALSE,
2025-02-16,Monday,Technique,1,2,C,"1,2 / STEP BK/IN/4, 3B, 4",Mixed,FALSE,
2025-02-16,Monday,Technique,2,,A,1 - 2 - 4 - 3 - 4B,Mixed,FALSE,
2025-02-16,Monday,Technique,2,,B,1 - SLIP L/R - 2 - WEAVE R - 4,Mixed,FALSE,
2025-02-16,Monday,Technique,2,,C,1 TO A TRIANGLE HEAD MOVEMENT TO 1,Mixed,FALSE,
2025-02-16,Monday,Technique,3,,A,Nonstop sparring,Mixed,TRUE,technique-station3
2025-02-16,Monday,Technique,3,,B,Nonstop sparring,Mixed,TRUE,technique-station3
2025-02-16,Monday,Technique,3,,C,Nonstop sparring,Mixed,TRUE,technique-station3
2025-02-16,Tuesday,Boxing,1,1,A,CABLE CHEST PRESS,Upper,FALSE,
2025-02-16,Tuesday,Boxing,1,1,B,JACKKNIVES,Upper,FALSE,
2025-02-16,Tuesday,Boxing,1,1,C,PARTNER LEG RAISES,Upper,FALSE,
2025-02-16,Tuesday,Boxing,1,2,A,CABLE OVERHEAD TRICEPS EXTENSIONS,Upper,FALSE,
2025-02-16,Tuesday,Boxing,1,2,B,PARTNER SQUAT TO SLAM BALL TOSS,Upper,FALSE,
2025-02-16,Tuesday,Boxing,1,2,C,PARTNER SET-UP TO SLAM BALL TOSS,Upper,FALSE,
2025-02-16,Tuesday,Boxing,2,,A,1 - 2 - 4B - 4,Upper,FALSE,
2025-02-16,Tuesday,Boxing,2,,B,1 - 2 - LEAN BK - 2 - 3,Upper,FALSE,
2025-02-16,Tuesday,Boxing,2,,C,SWITCH/HOOK,Upper,FALSE,
2025-02-16,Tuesday,Boxing,3,,A,ATT/DEF,Upper,FALSE,
2025-02-16,Tuesday,Boxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-02-16,Tuesday,Boxing,3,,C,FRONT SPLITS,Upper,FALSE,
2025-02-16,Wednesday,Conditioning,1,1,A,PARTNER – ATT/DEF,Lower,FALSE,
2025-02-16,Wednesday,Conditioning,1,1,B,PARTNER – ATT/DEF,Lower,FALSE,
