weekStartDate,dayOfWeek,dayType,station,phase,slot,exerciseName,focus,isStatic,staticCondition
2025-12-28,Sunday,Kickboxing,1,1,A,R SINGLE ARM OVERHEAD TRICEPS EXT.,Upper,FALSE,
2025-12-28,Sunday,Kickboxing,1,1,B,MOUNTAIN CLIMBERS,Upper,FALSE,
2025-12-28,Sunday,Kickboxing,1,1,C,SIT-UPS,Upper,FALSE,
2025-12-28,Sunday,Kickboxing,1,2,A,L SINGLE ARM OVERHEAD TRICEPS EXT.,Upper,FALSE,
2025-12-28,Sunday,Kickboxing,1,2,B,PLANK TWISTS,Upper,FALSE,
2025-12-28,Sunday,Kickboxing,1,2,C,V-SITS,Upper,FALSE,
2025-12-28,Sunday,Kickboxing,2,,A,"1,2, FRONT KICK, R BODY KICK",Upper,FALSE,
2025-12-28,Sunday,Kickboxing,2,,B,"1, 2, L LOW KICK, R HK, L BODY KICK",Upper,FALSE,
2025-12-28,Sunday,Kickboxing,2,,C,"BLOCK, ROUND KICK",Upper,FALSE,
2025-12-28,Sunday,Kickboxing,3,,A,ATT/DEF,Upper,FALSE,
2025-12-28,Sunday,Kickboxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-12-28,Sunday,Kickboxing,3,,C,SIDEKICK HOLD,Upper,FALSE,
2025-12-28,Monday,Technique,1,1,A,ATT/DEF,Mixed,FALSE,
2025-12-28,Monday,Technique,1,1,B,ATT/DEF,Mixed,FALSE,
2025-12-28,Monday,Technique,1,1,C,ATT/DEF,Mixed,FALSE,
2025-12-28,Monday,Technique,1,2,A,"1,2 / STEP BK/IN",Mixed,FALSE,
2025-12-28,Monday,Technique,1,2,B,"1,2 / STEP BK/IN,3B,5",Mixed,FALSE,
2025-12-28,Monday,Technique,1,2,C,"1,2 / STEP BK/IN,3B,5,4,1",Mixed,FALSE,
2025-12-28,Monday,Technique,2,,A,1 - 1B - 2 - 3 - 4B,Mixed,FALSE,
2025-12-28,Monday,Technique,2,,B,1 - 2 - STEP BK/IN/1 - 2 - WEAVE R - S - 4,Mixed,FALSE,
2025-12-28,Monday,Technique,2,,C,STEP BK/IN/BODY,Mixed,FALSE,
2025-12-28,Monday,Technique,3,,A,Nonstop sparring,Mixed,TRUE,technique-station3
2025-12-28,Monday,Technique,3,,B,Nonstop sparring,Mixed,TRUE,technique-station3
2025-12-28,Monday,Technique,3,,C,Nonstop sparring,Mixed,TRUE,technique-station3
2025-12-28,Tuesday,Boxing,1,1,A,R SINGLE LEG HIP THRUSTS,Upper,FALSE,
2025-12-28,Tuesday,Boxing,1,1,B,LOW SQUAT HOLD SKIPS,Upper,FALSE,
2025-12-28,Tuesday,Boxing,1,1,C,R SINGLE LEG BRIDGE HOLD TO LEG EXT,Upper,FALSE,
2025-12-28,Tuesday,Boxing,1,2,A,L SINGLE LEG HIP THRUSTS,Upper,FALSE,
