weekStartDate,dayOfWeek,dayType,station,phase,slot,exerciseName,focus,isStatic,staticCondition
2025-10-26,Sunday,Kickboxing,1,1,A,PULLOVERS,Upper,FALSE,
2025-10-26,Sunday,Kickboxing,1,1,B,TWISTING LEG RAISES,Upper,FALSE,
2025-10-26,Sunday,Kickboxing,1,1,C,R ISOLATION BICEP CURLS,Upper,FALSE,
2025-10-26,Sunday,Kickboxing,1,2,A,SKULL CRUSHERS,Upper,FALSE,
2025-10-26,Sunday,Kickboxing,1,2,B,"WEIGHTED 1,2S",Upper,FALSE,
2025-10-26,Sunday,Kickboxing,1,2,C,L ISOLATION BICEP CURLS,Upper,FALSE,
2025-10-26,Sunday,Kickboxing,2,,A,"1,2 FRONT KICK, R BODY KICK",Upper,FALSE,
2025-10-26,Sunday,Kickboxing,2,,B,"1,2, SWITCH KICK, FAKE, SPINNING KICK",Upper,FALSE,
2025-10-26,Sunday,Kickboxing,2,,C,"1,2, FRONT KICK, SIDEKICK",Upper,FALSE,
2025-10-26,Sunday,Kickboxing,3,,A,ATT/DEF,Upper,FALSE,
2025-10-26,Sunday,Kickboxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-10-26,Sunday,Kickboxing,3,,C,REACTION BALL,Upper,FALSE,
2025-10-26,Monday,Technique,1,1,A,ATT/DEF,Mixed,FALSE,
2025-10-26,Monday,Technique,1,1,B,ATT/DEF,Mixed,FALSE,
2025-10-26,Monday,Technique,1,1,C,ATT/DEF,Mixed,FALSE,
2025-10-26,Monday,Technique,1,2,A,STEP IN JAB / STEP BK,Mixed,FALSE,
2025-10-26,Monday,Technique,1,2,B,"STEP IN JAB,2 / STEP BK/IN/SLIP",Mixed,FALSE,
2025-10-26,Monday,Technique,1,2,C,"..,2/STEP BK/IN/SLIP,SWITCH,R HK",Mixed,FALSE,
2025-10-26,Monday,Technique,2,,A,1 - 2 - WEAVE R/L - 1 - 2,Mixed,FALSE,
2025-10-26,Monday,Technique,2,,B,1 - 2 - 3 - WEAVE L - 3 - 2,Mixed,FALSE,
2025-10-26,Monday,Technique,2,,C,"WEAVE R/L BODY, R HOOK WEAVE L/R BODY, L HOOK",Mixed,FALSE,
2025-10-26,Monday,Technique,3,,A,Nonstop sparring,Mixed,TRUE,technique-station3
2025-10-26,Monday,Technique,3,,B,Nonstop sparring,Mixed,TRUE,technique-station3
2025-10-26,Monday,Technique,3,,C,Nonstop sparring,Mixed,TRUE,technique-station3
2025-10-26,Tuesday,Boxing,1,1,A,2 BOUNCING SQUATS TO FULL SQUAT,Upper,FALSE,
2025-10-26,Tuesday,Boxing,1,1,B,MOUNTAIN CLIMBER,Upper,FALSE,
2025-10-26,Tuesday,Boxing,1,1,C,LOW SQUAT SIDE STEPS,Upper,FALSE,
2025-10-26,Tuesday,Boxing,1,2,A,FORWARD LUNGES,Upper,FALSE,
2025-10-26,Tuesday,Boxing,1,2,B,REVERSE BURPEES,Upper,FALSE,
2025-10-26,Tuesday,Boxing,1,2,C,DEADLIFTS,Upper,FALSE,
2025-10-26,Tuesday,Boxing,2,,A,1 - 2 - 3B - 3 - 4,Upper,FALSE,
2025-10-26,Tuesday,Boxing,2,,B,1 - 2 - SLIP R - 2 - SLIP R - 4 - SLIP R/1,Upper,FALSE,
2025-10-26,Tuesday,Boxing,2,,C,"1,2, DUCK, 1,2",Upper,FALSE,
2025-10-26,Tuesday,Boxing,3,,A,MIRRORING,Upper,FALSE,
2025-10-26,Tuesday,Boxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-10-26,Tuesday,Boxing,3,,C,"L SIDE STEP/3,2",Upper,FALSE,
2025-10-26,Wednesday,Conditioning,1,1,A,FORWARD JUMP TO BURPEE,Lower,FALSE,
2025-10-26,Wednesday,Conditioning,1,1,B,THRUSTER TO BURPEE,Lower,FALSE,
2025-10-26,Wednesday,Conditioning,1,1,C,SLAM BALL SLAMS TO BURPEE,Lower,FALSE,
2025-10-26,Wednesday,Conditioning,2,,A,5X SQUAT TO R BODY KICK 5X SQUAT TO L BODY KICK,Lower,FALSE,
2025-10-26,Wednesday,Conditioning,2,,B,"5X 1,2,3,4 5X 1,2, R ELBOW, L ELBOW",Lower,FALSE,
2025-10-26,Wednesday,Conditioning,2,,C,"5X 1,2,4B,4B 5X 1,2,1,3B,3B",Lower,FALSE,
2025-10-26,Wednesday,Conditioning,3,,A,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-10-26,Wednesday,Conditioning,3,,B,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-10-26,Wednesday,Conditioning,3,,C,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-10-26,Thursday,Kickboxing,1,1,A,FRONTAL RAISES,Mixed,FALSE,
2025-10-26,Thursday,Kickboxing,1,1,B,PLANK TO SHOULDER TAP,Mixed,FALSE,
2025-10-26,Thursday,Kickboxing,1,1,C,GOOD MORNINGS,Mixed,FALSE,
2025-10-26,Thursday,Kickboxing,1,2,A,LATERAL RAISES,Mixed,FALSE,
2025-10-26,Thursday,Kickboxing,1,2,B,TWISTING SQUAT JUMPS,Mixed,FALSE,
2025-10-26,Thursday,Kickboxing,1,2,C,ELEVATED HIP BRIDGES,Mixed,FALSE,
2025-10-26,Thursday,Kickboxing,2,,A,"1,2 R BODY KICK, R HIGH KICK",Mixed,FALSE,
2025-10-26,Thursday,Kickboxing,2,,B,"1,2, STEP BK/SWITCH, FAKE, FRONT KICK",Mixed,FALSE,
2025-10-26,Thursday,Kickboxing,2,,C,"1,2 FRONT KICK, R ELBOW, GRAB, KNEE",Mixed,FALSE,
2025-10-26,Thursday,Kickboxing,3,,A,ATT/DEF,Mixed,FALSE,
2025-10-26,Thursday,Kickboxing,3,,B,LIGHT SPARRING,Mixed,FALSE,
2025-10-26,Thursday,Kickboxing,3,,C,SIDE SPLITS,Mixed,FALSE,
2025-10-26,Saturday,Technique,1,1,A,ATT/DEF,Lower,FALSE,
2025-10-26,Saturday,Technique,1,1,B,ATT/DEF,Lower,FALSE,
2025-10-26,Saturday,Technique,1,1,C,ATT/DEF,Lower,FALSE,
2025-10-26,Saturday,Technique,1,2,A,"1,2 / PARRY",Lower,FALSE,
2025-10-26,Saturday,Technique,1,2,B,"1,2 / PARRY, L SIDE STEP/ 3",Lower,FALSE,
2025-10-26,Saturday,Technique,1,2,C,"1,2 / PARRY, L SIDE STEP/ 3, 2",Lower,FALSE,
2025-10-26,Saturday,Technique,2,,A,1 - 2 - 3 - 3 - 2,Lower,FALSE,
2025-10-26,Saturday,Technique,2,,B,1 - 2 - STEP BK/IN/R HK - SWITCH - 3,Lower,FALSE,
2025-10-26,Saturday,Technique,2,,C,"10 SECS 1,2 10 SECS 3,4 10 SECS BODY SHOTS",Lower,FALSE,
2025-10-26,Saturday,Technique,3,,A,Nonstop sparring,Lower,TRUE,technique-station3
2025-10-26,Saturday,Technique,3,,B,Nonstop sparring,Lower,TRUE,technique-station3
2025-10-26,Saturday,Technique,3,,C,Nonstop sparring,Lower,TRUE,technique-station3
