weekStartDate,dayOfWeek,dayType,station,phase,slot,exerciseName,focus,isStatic,staticCondition
2025-07-06,Sunday,Kickboxing,1,1,A,PUSH-UPS TO SIDE KICKS,Upper,FALSE,
2025-07-06,Sunday,Kickboxing,1,1,B,PLANK TO TOE TAPS,Upper,FALSE,
2025-07-06,Sunday,Kickboxing,1,1,C,TRICEPS GET-UPS,Upper,FALSE,
2025-07-06,Sunday,Kickboxing,1,2,A,PLANK SHOULDER TAPS,Upper,FALSE,
2025-07-06,Sunday,Kickboxing,1,2,B,BLOCK TO UP KICKS,Upper,FALSE,
2025-07-06,Sunday,Kickboxing,1,2,C,CHEST PRESS WITH LEG RAISES,Upper,FALSE,
2025-07-06,Sunday,Kickboxing,2,,A,"1, 2, SIDEKICK",Upper,FALSE,
2025-07-06,Sunday,Kickboxing,2,,B,"1, 2, BLOCK L, SWITCH KICK,L BODY KICK",Upper,FALSE,
2025-07-06,Sunday,Kickboxing,2,,C,QUESTION MARK KICK,Upper,FALSE,
2025-07-06,Sunday,Kickboxing,3,,A,ATT/DEF,Upper,FALSE,
2025-07-06,Sunday,Kickboxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-07-06,Sunday,Kickboxing,3,,C,BODY KICK TECHNIQUE,Upper,FALSE,
2025-07-06,Monday,Technique,1,1,A,ATT/DEF,Mixed,FALSE,
2025-07-06,Monday,Technique,1,1,B,ATT/DEF,Mixed,FALSE,
2025-07-06,Monday,Technique,1,1,C,ATT/DEF,Mixed,FALSE,
2025-07-06,Monday,Technique,1,2,A,"1 / PARRY R, 3",Mixed,FALSE,
2025-07-06,Monday,Technique,1,2,B,"1 / PARRY R, 3,6,3",Mixed,FALSE,
2025-07-06,Monday,Technique,1,2,C,"1 / PARRY R, 3,6,3,2/STEP BK",Mixed,FALSE,
2025-07-06,Monday,Technique,2,,A,1 - 2 - 1 - 4 - 3B - 4,Mixed,FALSE,
2025-07-06,Monday,Technique,2,,B,1 - 2 - 1 - FAKE 2 - 4 - 3B,Mixed,FALSE,
