weekStartDate,dayOfWeek,dayType,station,phase,slot,exerciseName,focus,isStatic,staticCondition
2025-07-20,Sunday,Kickboxing,1,1,A,STEP CHEST PRESS,Upper,FALSE,
2025-07-20,Sunday,Kickboxing,1,1,B,STEP HOPS,Upper,FALSE,
2025-07-20,Sunday,Kickboxing,1,1,C,ARNOLD PRESS,Upper,FALSE,
2025-07-20,Sunday,Kickboxing,1,2,A,STEP PULLOVERS,Upper,FALSE,
2025-07-20,Sunday,Kickboxing,1,2,B,"WEIGHTED 1,2S",Upper,FALSE,
2025-07-20,Sunday,Kickboxing,1,2,C,OVERHEAD TRICEPS EXTENSIONS,Upper,FALSE,
2025-07-20,Sunday,Kickboxing,2,,A,"1,2, R BODY KICKS, R SIDEKICK",Upper,FALSE,
2025-07-20,Sunday,Kickboxing,2,,B,"1,2, STEP BK, SWITCH, F. KNEE, SPINNING R KICK",Upper,FALSE,
2025-07-20,Sunday,Kickboxing,2,,C,"FRONT KICK, ELBOW",Upper,FALSE,
2025-07-20,Sunday,Kickboxing,3,,A,ATT/DEF,Upper,FALSE,
2025-07-20,Sunday,Kickboxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-07-20,Sunday,Kickboxing,3,,C,SIDEKICK TECHNIQUE,Upper,FALSE,
2025-07-20,Monday,Technique,1,1,A,ATT/DEF,Mixed,FALSE,
2025-07-20,Monday,Technique,1,1,B,ATT/DEF,Mixed,FALSE,
2025-07-20,Monday,Technique,1,1,C,ATT/DEF,Mixed,FALSE,
2025-07-20,Monday,Technique,1,2,A,"1/SLIP R/1,6",Mixed,FALSE,
2025-07-20,Monday,Technique,1,2,B,"1/SLIP R/1,6,3,2",Mixed,FALSE,
2025-07-20,Monday,Technique,1,2,C,"1/SLIP R/1,6,3,2, L KNEE",Mixed,FALSE,
2025-07-20,Monday,Technique,2,,A,1 - 2 - 3B - 3B - 4 - 4B,Mixed,FALSE,
2025-07-20,Monday,Technique,2,,B,1 - 2B - 3 - WEAVE L/4B - 3,Mixed,FALSE,
2025-07-20,Monday,Technique,2,,C,"JAB, SLIP L/R, STRT…",Mixed,FALSE,
2025-07-20,Monday,Technique,3,,A,Nonstop sparring,Mixed,TRUE,technique-station3
2025-07-20,Monday,Technique,3,,B,Nonstop sparring,Mixed,TRUE,technique-station3
2025-07-20,Monday,Technique,3,,C,Nonstop sparring,Mixed,TRUE,technique-station3
2025-07-20,Tuesday,Boxing,1,1,A,R CURTSY LUNGE TO SQUAT JUMP,Upper,FALSE,
