weekStartDate,dayOfWeek,dayType,station,phase,slot,exerciseName,focus,isStatic,staticCondition
2025-09-28,Sunday,Kickboxing,1,1,A,NARROW GRIP SHOULDER PRESS,Upper,FALSE,
2025-09-28,Sunday,Kickboxing,1,1,B,CHEST PRESS WITH LEG RAISES,Upper,FALSE,
2025-09-28,Sunday,Kickboxing,1,1,C,WIDE BENT OVER ROWS,Upper,FALSE,
2025-09-28,Sunday,Kickboxing,1,2,A,HAMMER CURLS,Upper,FALSE,
2025-09-28,Sunday,Kickboxing,1,2,B,WEIGHTED HIGH KNEES,Upper,FALSE,
2025-09-28,Sunday,Kickboxing,1,2,C,OVERHEAD TRICEPS EXTENSIONS,Upper,FALSE,
2025-09-28,Sunday,Kickboxing,2,,A,"1, 2, FRONT KICK, KNEE",Upper,FALSE,
2025-09-28,Sunday,Kickboxing,2,,B,"1,2, STEP BK,FAKE KNEE,FRT KICK,B KICK",Upper,FALSE,
2025-09-28,Sunday,Kickboxing,2,,C,RAPID SIDEKICKS,Upper,FALSE,
2025-09-28,Sunday,Kickboxing,3,,A,ATT/DEF,Upper,FALSE,
2025-09-28,Sunday,Kickboxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-09-28,Sunday,Kickboxing,3,,C,SPLIT,Upper,FALSE,
2025-09-28,Monday,Technique,1,1,A,ATT/DEF,Mixed,FALSE,
2025-09-28,Monday,Technique,1,1,B,ATT/DEF,Mixed,FALSE,
2025-09-28,Monday,Technique,1,1,C,ATT/DEF,Mixed,FALSE,
2025-09-28,Monday,Technique,1,2,A,"1 / SLIP L, 5",Mixed,FALSE,
2025-09-28,Monday,Technique,1,2,B,"1 / SLIP L, 5,4,3",Mixed,FALSE,
2025-09-28,Monday,Technique,1,2,C,"1 / SLIP L, 5,4,3,PIVOT, 6,1",Mixed,FALSE,
2025-09-28,Monday,Technique,3,,A,Nonstop sparring,Mixed,TRUE,technique-station3
2025-09-28,Monday,Technique,3,,B,Nonstop sparring,Mixed,TRUE,technique-station3
2025-09-28,Monday,Technique,3,,C,Nonstop sparring,Mixed,TRUE,technique-station3
2025-09-28,Tuesday,Boxing,1,1,A,R CURTSY LUNGE TO SQUAT JUMP,Upper,FALSE,
2025-09-28,Tuesday,Boxing,1,1,B,V-SET TO HEEL TAPS,Upper,FALSE,
2025-09-28,Tuesday,Boxing,1,1,C,R SINGLE LEG DEADLIFT,Upper,FALSE,
2025-09-28,Tuesday,Boxing,1,2,A,L CURTSY LUNGE TO SQUAT JUMP,Upper,FALSE,
2025-09-28,Tuesday,Boxing,1,2,B,POP SQUATS TO FLOOR TAPS,Upper,FALSE,
2025-09-28,Tuesday,Boxing,1,2,C,L SINGLE LEG DEADLIFT,Upper,FALSE,
2025-09-28,Tuesday,Boxing,2,,A,1 - 4 - 4 - L ELBOW - 2,Upper,FALSE,
2025-09-28,Tuesday,Boxing,2,,B,1 - 2 - L SIDE STEP/ 3 - 2 - 3,Upper,FALSE,
2025-09-28,Tuesday,Boxing,2,,C,"JAB, STRT, DUCK, JAB, STRT,",Upper,FALSE,
2025-09-28,Tuesday,Boxing,3,,A,MIRRORING,Upper,FALSE,
2025-09-28,Tuesday,Boxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-09-28,Tuesday,Boxing,3,,C,"STEP IN, 1,2",Upper,FALSE,
2025-09-28,Wednesday,Conditioning,1,1,A,PUSH-UPS OR SQUATS OR BURPEES,Lower,FALSE,
2025-09-28,Wednesday,Conditioning,2,,A,SQUAT TO BODY KICK,Lower,FALSE,
2025-09-28,Wednesday,Conditioning,2,,B,SIT-UP TO HOOKS,Lower,FALSE,
2025-09-28,Wednesday,Conditioning,2,,C,"1,2 TO BURPEE",Lower,FALSE,
2025-09-28,Wednesday,Conditioning,3,,A,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-09-28,Wednesday,Conditioning,3,,B,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-09-28,Wednesday,Conditioning,3,,C,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-09-28,Thursday,Kickboxing,1,1,A,BICEPS CURLS,Mixed,FALSE,
2025-09-28,Thursday,Kickboxing,1,1,B,BICYCLE CRUNCHES,Mixed,FALSE,
2025-09-28,Thursday,Kickboxing,1,1,C,GOOD MORNINGS,Mixed,FALSE,
2025-09-28,Thursday,Kickboxing,1,2,A,CHEST FLYS,Mixed,FALSE,
2025-09-28,Thursday,Kickboxing,1,2,B,MOUNTAIN CLIMBER,Mixed,FALSE,
2025-09-28,Thursday,Kickboxing,1,2,C,KICKBACKS,Mixed,FALSE,
2025-09-28,Thursday,Kickboxing,2,,A,"1,2, L LOW KICK, 4, R BODY KICK",Mixed,FALSE,
2025-09-28,Thursday,Kickboxing,2,,B,"1,2, FRONT KICK, BLOCK, R HK, KNEE",Mixed,FALSE,
2025-09-28,Thursday,Kickboxing,2,,C,FREESTYLE,Mixed,FALSE,
2025-09-28,Thursday,Kickboxing,3,,A,ATT/DEF,Mixed,FALSE,
2025-09-28,Thursday,Kickboxing,3,,B,LIGHT SPARRING,Mixed,FALSE,
2025-09-28,Thursday,Kickboxing,3,,C,BODY KICK TECHNIQUE,Mixed,FALSE,
2025-09-28,Saturday,Technique,1,1,A,ATT/DEF,Lower,FALSE,
2025-09-28,Saturday,Technique,1,1,B,ATT/DEF,Lower,FALSE,
2025-09-28,Saturday,Technique,1,1,C,ATT/DEF,Lower,FALSE,
2025-09-28,Saturday,Technique,1,2,A,1 / SWITCH/4,Lower,FALSE,
2025-09-28,Saturday,Technique,1,2,B,"1 / SWITCH/4, SWITCH/2",Lower,FALSE,
2025-09-28,Saturday,Technique,1,2,C,"1 / SWITCH/4, SWITCH/2,1,3",Lower,FALSE,
2025-09-28,Saturday,Technique,2,,A,1 - 1 - 4 - 3B - 4,Lower,FALSE,
2025-09-28,Saturday,Technique,2,,B,1 - 2 - SLIP R - 2 - SLIP R - 4 - 3,Lower,FALSE,
2025-09-28,Saturday,Technique,2,,C,FREESTYLE,Lower,FALSE,
2025-09-28,Saturday,Technique,3,,A,Nonstop sparring,Lower,TRUE,technique-station3
2025-09-28,Saturday,Technique,3,,B,Nonstop sparring,Lower,TRUE,technique-station3
2025-09-28,Saturday,Technique,3,,C,Nonstop sparring,Lower,TRUE,technique-station3
