weekStartDate,dayOfWeek,dayType,station,phase,slot,exerciseName,focus,isStatic,staticCondition
2022-04-17,Sunday,Kickboxing,1,1,A,CABLE LAT PULLDOWNS,Upper,FALSE,
2022-04-17,Sunday,Kickboxing,1,1,B,TRICEPS DIPS,Upper,FALSE,
2022-04-17,Sunday,Kickboxing,1,1,C,PLANK SUICIDES,Upper,FALSE,
2022-04-17,Sunday,Kickboxing,1,2,A,TORSO RAISES,Upper,FALSE,
2022-04-17,Sunday,Kickboxing,1,2,B,PLANK HOLD TRICEPS EXTENSIONS,Upper,FALSE,
2022-04-17,Sunday,Kickboxing,1,2,C,High Knee Sprints,Upper,FALSE,
2022-04-17,Sunday,Kickboxing,2,,A,1 – 6 - 3 - 4 - 1,Upper,FALSE,
2022-04-17,Sunday,Kickboxing,2,,B,3 - 2 - 3 - 6 - 1,Upper,FALSE,
2022-04-17,Sunday,Kickboxing,2,,C,"20 SEC FREESTYLE, 10 SEC FOOTWORK",Upper,FALSE,
2022-04-17,Sunday,Kickboxing,3,,A,MIRRORING,Upper,FALSE,
2022-04-17,Sunday,Kickboxing,3,,B,SPARRING 10%,Upper,FALSE,
2022-04-17,Sunday,Kickboxing,3,,C,"ATT/(DEF,ATT)/DEF",Upper,FALSE,
2022-04-17,Monday,Technique,1,1,A,BRIDGE HOLD CHEST PRESS,Mixed,FALSE,
2022-04-17,Monday,Technique,1,1,B,REVERSE BICEPS CURLS,Mixed,FALSE,
2022-04-17,Monday,Technique,1,1,C,EXTENDED PLANK TAPS,Mixed,FALSE,
2022-04-17,Monday,Technique,1,2,A,DIAMOND PUSH-UPS TO KNEE DRIVES,Mixed,FALSE,
2022-04-17,Monday,Technique,1,2,B,CABLE BICEPS CURLS HOLD,Mixed,FALSE,
2022-04-17,Monday,Technique,1,2,C,PARTNERS HALF BURPEE TO SB SQUATS,Mixed,FALSE,
2022-04-17,Monday,Technique,2,,A,1 – 2 - 1 - 4 - 3 - 1,Mixed,FALSE,
2022-04-17,Monday,Technique,2,,B,1 - 2 - STEP BK/IN - 2 - 5,Mixed,FALSE,
2022-04-17,Monday,Technique,2,,C,"20 SEC FREESTYLE, 10 SEC SIDE STEP R HOOK",Mixed,FALSE,
2022-04-17,Monday,Technique,3,,A,Nonstop sparring,Mixed,TRUE,technique-station3
2022-04-17,Monday,Technique,3,,B,Nonstop sparring,Mixed,TRUE,technique-station3
2022-04-17,Monday,Technique,3,,C,Nonstop sparring,Mixed,TRUE,technique-station3
2022-04-17,Tuesday,Boxing,1,1,A,SINGLE KB DEADLIFT R,Upper,FALSE,
2022-04-17,Tuesday,Boxing,1,1,B,RB BACK EXTENSIONS,Upper,FALSE,
2022-04-17,Tuesday,Boxing,1,1,C,SIT-UPS TO 1 2,Upper,FALSE,
