weekStartDate,dayOfWeek,dayType,station,phase,slot,exerciseName,focus,isStatic,staticCondition
2025-06-22,Sunday,Kickboxing,1,1,A,STEP CHEST FLYS,Upper,FALSE,
2025-06-22,Sunday,Kickboxing,1,1,B,STEP PLANK TO HAND STEP OVERS,Upper,FALSE,
2025-06-22,Sunday,Kickboxing,1,1,C,LATERAL RAISES,Upper,FALSE,
2025-06-22,Sunday,Kickboxing,1,2,A,STEP PULLOVERS,Upper,FALSE,
2025-06-22,Sunday,Kickboxing,1,2,B,TUCK JUMPS,Upper,FALSE,
2025-06-22,Sunday,Kickboxing,1,2,C,FRONTAL RAISES,Upper,FALSE,
2025-06-22,Sunday,Kickboxing,2,,A,"1, 2, SWITCH KICK",Upper,FALSE,
2025-06-22,Sunday,Kickboxing,2,,B,"1,2, STEP BK/IN/SIDEKICK, 4",Upper,FALSE,
2025-06-22,Sunday,Kickboxing,2,,C,RAPID SIDEKICKS,Upper,FALSE,
2025-06-22,Sunday,Kickboxing,3,,A,ATT/DEF,Upper,FALSE,
2025-06-22,Sunday,Kickboxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-06-22,Sunday,Kickboxing,3,,C,SPLITS,Upper,FALSE,
2025-06-22,Monday,Technique,1,1,A,ATT/DEF,Mixed,FALSE,
2025-06-22,Monday,Technique,1,1,B,ATT/DEF,Mixed,FALSE,
2025-06-22,Monday,Technique,1,1,C,ATT/DEF,Mixed,FALSE,
2025-06-22,Monday,Technique,1,2,A,1 / SWITCH/3,Mixed,FALSE,
2025-06-22,Monday,Technique,1,2,B,"1 / SWITCH/3, SWITCH/2",Mixed,FALSE,
2025-06-22,Monday,Technique,1,2,C,"1 / SWITCH/3, SWITCH/2, 5",Mixed,FALSE,
2025-06-22,Monday,Technique,2,,A,WEAVE R - 4 - WEAVE L - 3,Mixed,FALSE,
2025-06-22,Monday,Technique,2,,B,1 - 4 - WEAVE R - 4 - 1 - 4B,Mixed,FALSE,
2025-06-22,Monday,Technique,2,,C,"WEAVE R/3B, 4, WEAVE L/4B, 3",Mixed,FALSE,
2025-06-22,Monday,Technique,3,,A,Nonstop sparring,Mixed,TRUE,technique-station3
2025-06-22,Monday,Technique,3,,B,Nonstop sparring,Mixed,TRUE,technique-station3
2025-06-22,Monday,Technique,3,,C,Nonstop sparring,Mixed,TRUE,technique-station3
2025-06-22,Tuesday,Boxing,1,1,A,R CURTSEY LUNGE TO SQUAT JUMP,Upper,FALSE,
2025-06-22,Tuesday,Boxing,1,1,B,MOUNTAIN CLIMBER,Upper,FALSE,
2025-06-22,Tuesday,Boxing,1,1,C,R LATERAL TO BACKWARD LUNGE,Upper,FALSE,
2025-06-22,Tuesday,Boxing,1,2,A,L CURTSEY LUNGE TO SQUAT JUMP,Upper,FALSE,
2025-06-22,Tuesday,Boxing,1,2,B,POP SQUATS,Upper,FALSE,
2025-06-22,Tuesday,Boxing,1,2,C,L LATERAL TO BACKWARD LUNGE,Upper,FALSE,
2025-06-22,Tuesday,Boxing,2,,A,1 - 1 - 4 - 3B - 4,Upper,FALSE,
2025-06-22,Tuesday,Boxing,2,,B,1 - 2 - SLIP R/L - 3 - 2 - 3B,Upper,FALSE,
2025-06-22,Tuesday,Boxing,2,,C,"1,2, STEP BK/IN/1, 2",Upper,FALSE,
2025-06-22,Tuesday,Boxing,3,,A,MIRRORING,Upper,FALSE,
2025-06-22,Tuesday,Boxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-06-22,Tuesday,Boxing,3,,C,SHOULDER TAGS,Upper,FALSE,
2025-06-22,Wednesday,Conditioning,1,1,A,BURPEE TO BROAD JUMP,Lower,FALSE,
2025-06-22,Wednesday,Conditioning,1,1,B,LATERAL STEPS TO FLOOR TAP,Lower,FALSE,
2025-06-22,Wednesday,Conditioning,1,1,C,PARTNER LOW SQUAT HOLD SWITCHES,Lower,FALSE,
2025-06-22,Wednesday,Conditioning,2,,A,"5X R HOOKS, 5X L HOOKS 5X WEAVES",Lower,FALSE,
2025-06-22,Wednesday,Conditioning,2,,B,"5X JAB, JAB, R HOOK 5X SLIPS",Lower,FALSE,
2025-06-22,Wednesday,Conditioning,2,,C,"5X JAB R ELBOW, SWITCH 5X STEP IN/OUT",Lower,FALSE,
2025-06-22,Wednesday,Conditioning,3,,A,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-06-22,Wednesday,Conditioning,3,,B,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-06-22,Wednesday,Conditioning,3,,C,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-06-22,Thursday,Kickboxing,1,1,A,ARNOLD PRESS,Mixed,FALSE,
2025-06-22,Thursday,Kickboxing,1,1,B,PLANK TWISTS,Mixed,FALSE,
2025-06-22,Thursday,Kickboxing,1,1,C,DEADLIFT,Mixed,FALSE,
2025-06-22,Thursday,Kickboxing,1,2,A,BICEPS CURLS,Mixed,FALSE,
2025-06-22,Thursday,Kickboxing,1,2,B,SKATER JUMPS,Mixed,FALSE,
2025-06-22,Thursday,Kickboxing,1,2,C,GOOD MORNING,Mixed,FALSE,
2025-06-22,Thursday,Kickboxing,2,,A,"1,2, 2X R BODY KICK, SWITCH KICK",Mixed,FALSE,
2025-06-22,Thursday,Kickboxing,2,,B,"1,2, L LOW KICK, 4, 3, R BODY KICK",Mixed,FALSE,
2025-06-22,Thursday,Kickboxing,2,,C,"2X R BODY KICKS, 2X L BODY KICKS,",Mixed,FALSE,
2025-06-22,Thursday,Kickboxing,3,,A,ATT/DEF,Mixed,FALSE,
2025-06-22,Thursday,Kickboxing,3,,B,LIGHT SPARRING,Mixed,FALSE,
2025-06-22,Thursday,Kickboxing,3,,C,3 SHUFFLES TO PIVOT,Mixed,FALSE,
2025-06-22,Saturday,Technique,1,1,A,ATT/DEF,Lower,FALSE,
2025-06-22,Saturday,Technique,1,1,B,ATT/DEF,Lower,FALSE,
2025-06-22,Saturday,Technique,1,1,C,ATT/DEF,Lower,FALSE,
2025-06-22,Saturday,Technique,1,2,A,1 OR 2 / SLIP,Lower,FALSE,
2025-06-22,Saturday,Technique,1,2,B,3 OR 4 / WEAVE,Lower,FALSE,
2025-06-22,Saturday,Technique,1,2,C,1 / SLIP OR 2 / STEP IN,Lower,FALSE,
2025-06-22,Saturday,Technique,2,,A,1 - 1 - 2 - 3B - 3B,Lower,FALSE,
2025-06-22,Saturday,Technique,2,,B,1 - 2 - SLIP R - WEAVE L - 3 - 4,Lower,FALSE,
2025-06-22,Saturday,Technique,2,,C,"JAB, STRT, SWITCH/L HOOK",Lower,FALSE,
2025-06-22,Saturday,Technique,3,,A,Nonstop sparring,Lower,TRUE,technique-station3
2025-06-22,Saturday,Technique,3,,B,Nonstop sparring,Lower,TRUE,technique-station3
2025-06-22,Saturday,Technique,3,,C,Nonstop sparring,Lower,TRUE,technique-station3
