weekStartDate,dayOfWeek,dayType,station,phase,slot,exerciseName,focus,isStatic,staticCondition
2023-12-31,Sunday,Kickboxing,1,1,A,BICEPS CURL TO SHOULDER PRESS,Upper,FALSE,
2023-12-31,Sunday,Kickboxing,1,1,B,CABLE REVERSE TRICEPS EXTENSIONS,Upper,FALSE,
2023-12-31,Sunday,Kickboxing,1,1,C,PLANK TO TOE TAPS,Upper,FALSE,
2023-12-31,Sunday,Kickboxing,1,2,A,BENT OVER ROWS,Upper,FALSE,
2023-12-31,Sunday,Kickboxing,1,2,B,CABLE CHEST FLYS,Upper,FALSE,
2023-12-31,Sunday,Kickboxing,1,2,C,JUMPING JACKS TO PRESSES,Upper,FALSE,
2023-12-31,Sunday,Kickboxing,2,,A,"JAB, STRT, R LOW KICK, R SIDEKICK",Upper,FALSE,
2023-12-31,Sunday,Kickboxing,2,,B,SWITCH KICKS,Upper,FALSE,
2023-12-31,Sunday,Kickboxing,2,,C,RAPID R HIGH KICKS,Upper,FALSE,
2023-12-31,Sunday,Kickboxing,3,,A,ATT/DEF,Upper,FALSE,
2023-12-31,Sunday,Kickboxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2023-12-31,Sunday,Kickboxing,3,,C,FRONT KICKS,Upper,FALSE,
2023-12-31,Monday,Technique,1,1,A,"ATT/DEF,ATT",Mixed,FALSE,
2023-12-31,Monday,Technique,1,1,B,"ATT/DEF,ATT",Mixed,FALSE,
2023-12-31,Monday,Technique,1,1,C,REACT,Mixed,FALSE,
2023-12-31,Monday,Technique,1,2,A,1/ SLIP RIGHT AND JAB,Mixed,FALSE,
2023-12-31,Monday,Technique,1,2,B,"1/ SLIP RIGHT AND JAB, R UPP",Mixed,FALSE,
2023-12-31,Monday,Technique,1,2,C,[FILL],Mixed,FALSE,
2023-12-31,Monday,Technique,2,,A,1 - 2 - 3 - 4B - 3,Mixed,FALSE,
2023-12-31,Monday,Technique,2,,B,1 - 3 - 4B - 3,Mixed,FALSE,
2023-12-31,Monday,Technique,2,,C,"1,2,HOLD, BREAK, L ELBOW",Mixed,FALSE,
2023-12-31,Monday,Technique,3,,A,Nonstop sparring,Mixed,TRUE,technique-station3
2023-12-31,Monday,Technique,3,,B,Nonstop sparring,Mixed,TRUE,technique-station3
