weekStartDate,dayOfWeek,dayType,station,phase,slot,exerciseName,focus,isStatic,staticCondition
2025-07-13,Sunday,Kickboxing,1,1,A,R ISOLATION BENT OVER ROWS,Upper,FALSE,
2025-07-13,Sunday,Kickboxing,1,1,B,SEATED ALTERNATING LEG RAISES,Upper,FALSE,
2025-07-13,Sunday,Kickboxing,1,1,C,R ISOLATION TRICEPS KICK BACKS,Upper,FALSE,
2025-07-13,Sunday,Kickboxing,1,2,A,L ISOLATION BENT OVER ROWS,Upper,FALSE,
2025-07-13,Sunday,Kickboxing,1,2,B,WEIGHTED LOW SPRINTS,Upper,FALSE,
2025-07-13,Sunday,Kickboxing,1,2,C,L ISOLATION TRICEPS KICK BACKS,Upper,FALSE,
2025-07-13,Sunday,Kickboxing,2,,A,"1, 2, FRONT KICK, KNEE",Upper,FALSE,
2025-07-13,Sunday,Kickboxing,2,,B,"1,2, STEP BK, SIDEKICK, BACK ELBOW",Upper,FALSE,
2025-07-13,Sunday,Kickboxing,2,,C,"GRAB, 2X KNEES, ELBOW",Upper,FALSE,
2025-07-13,Sunday,Kickboxing,3,,A,LIGHT SPARRING,Upper,FALSE,
2025-07-13,Sunday,Kickboxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-07-13,Sunday,Kickboxing,3,,C,PLATE STEP BK/IN JABS,Upper,FALSE,
2025-07-13,Monday,Technique,1,1,A,ATT/DEF,Mixed,FALSE,
2025-07-13,Monday,Technique,1,1,B,"1,2,FRONT KICK/STEP BK,SIDEKICK",Mixed,FALSE,
2025-07-13,Monday,Technique,1,1,C,BODY KICK / GRAB OR THROW OR STEP BACK,Mixed,FALSE,
2025-07-13,Monday,Technique,1,2,A,1 / SWITCH/3,Mixed,FALSE,
2025-07-13,Monday,Technique,1,2,B,"1 / SWITCH/3, SWITCH/2",Mixed,FALSE,
2025-07-13,Monday,Technique,1,2,C,"1 / SWITCH/3, SWITCH/2, 3, 2",Mixed,FALSE,
2025-07-13,Monday,Technique,2,,A,1 - 1 - 4B - 3 - 2,Mixed,FALSE,
2025-07-13,Monday,Technique,2,,B,1 - 4 - WEAVE R - 4 - 3 - WEAVE R - 3,Mixed,FALSE,
2025-07-13,Monday,Technique,2,,C,"JAB, STRT, SWITCH/4, …",Mixed,FALSE,
2025-07-13,Monday,Technique,3,,A,Nonstop sparring,Mixed,TRUE,technique-station3
2025-07-13,Monday,Technique,3,,B,Nonstop sparring,Mixed,TRUE,technique-station3
2025-07-13,Monday,Technique,3,,C,Nonstop sparring,Mixed,TRUE,technique-station3
2025-07-13,Tuesday,Boxing,1,1,A,LATERAL RAISES,Upper,FALSE,
2025-07-13,Tuesday,Boxing,1,1,B,TWISTING SIT-UPS,Upper,FALSE,
2025-07-13,Tuesday,Boxing,1,1,C,R LATERAL LUNGES,Upper,FALSE,
2025-07-13,Tuesday,Boxing,1,2,A,FRONTAL RAISES,Upper,FALSE,
2025-07-13,Tuesday,Boxing,1,2,B,SKI JUMPS,Upper,FALSE,
2025-07-13,Tuesday,Boxing,1,2,C,L LATERAL LUNGES,Upper,FALSE,
2025-07-13,Tuesday,Boxing,2,,A,"1,2, 2X R BODY KICKS",Upper,FALSE,
2025-07-13,Tuesday,Boxing,2,,B,"1,2, STEP BK, SWITCH, F. KNEE, FRT KICK",Upper,FALSE,
2025-07-13,Tuesday,Boxing,2,,C,"R LOW KICK, R BODY KICK, SWITCH L LOW KICK, L BODY KICK",Upper,FALSE,
2025-07-13,Tuesday,Boxing,3,,A,ATT/DEF,Upper,FALSE,
2025-07-13,Tuesday,Boxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-07-13,Tuesday,Boxing,3,,C,SIDEKICK HOLD,Upper,FALSE,
2025-07-13,Wednesday,Conditioning,1,1,A,PARTNER – ATT/DEF,Lower,FALSE,
2025-07-13,Wednesday,Conditioning,1,1,B,PARTNER – ATT/DEF,Lower,FALSE,
2025-07-13,Wednesday,Conditioning,1,1,C,PARTNER – ATT/DEF,Lower,FALSE,
2025-07-13,Wednesday,Conditioning,1,2,A,1 / SWITCH/3,Lower,FALSE,
2025-07-13,Wednesday,Conditioning,1,2,B,"1 / SWITCH/3, SWITCH/2",Lower,FALSE,
2025-07-13,Wednesday,Conditioning,1,2,C,"1 / SWITCH/3, SWITCH/2, 3, 2",Lower,FALSE,
2025-07-13,Wednesday,Conditioning,2,,A,1 - 1 - 4B - 3 - 2,Lower,FALSE,
2025-07-13,Wednesday,Conditioning,2,,B,1 - 4 - WEAVE R - 4 - 3 - WEAVE R - 3,Lower,FALSE,
2025-07-13,Wednesday,Conditioning,2,,C,"JAB, STRT, SWITCH/4, …",Lower,FALSE,
2025-07-13,Wednesday,Conditioning,3,,A,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-07-13,Wednesday,Conditioning,3,,B,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-07-13,Wednesday,Conditioning,3,,C,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-07-13,Thursday,Kickboxing,1,1,A,LATERAL RAISES,Mixed,FALSE,
2025-07-13,Thursday,Kickboxing,1,1,B,TWISTING SIT-UPS,Mixed,FALSE,
2025-07-13,Thursday,Kickboxing,1,1,C,R LATERAL LUNGES,Mixed,FALSE,
2025-07-13,Thursday,Kickboxing,1,2,A,FRONTAL RAISES,Mixed,FALSE,
2025-07-13,Thursday,Kickboxing,1,2,B,SKI JUMPS,Mixed,FALSE,
2025-07-13,Thursday,Kickboxing,1,2,C,L LATERAL LUNGES,Mixed,FALSE,
2025-07-13,Thursday,Kickboxing,2,,A,"1,2, 2X R BODY KICKS",Mixed,FALSE,
2025-07-13,Thursday,Kickboxing,2,,B,"1,2, STEP BK, SWITCH, F. KNEE, FRT KICK",Mixed,FALSE,
2025-07-13,Thursday,Kickboxing,2,,C,"R LOW KICK, R BODY KICK, SWITCH L LOW KICK, L BODY KICK",Mixed,FALSE,
2025-07-13,Thursday,Kickboxing,3,,A,ATT/DEF,Mixed,FALSE,
2025-07-13,Thursday,Kickboxing,3,,B,LIGHT SPARRING,Mixed,FALSE,
2025-07-13,Thursday,Kickboxing,3,,C,SIDEKICK HOLD,Mixed,FALSE,
2025-07-13,Saturday,Technique,1,1,A,PARTNER – ATT/DEF,Lower,FALSE,
2025-07-13,Saturday,Technique,1,1,B,PARTNER – ATT/DEF,Lower,FALSE,
2025-07-13,Saturday,Technique,1,1,C,PARTNER – ATT/DEF,Lower,FALSE,
2025-07-13,Saturday,Technique,1,2,A,1 / SWITCH/3,Lower,FALSE,
